SETTLEMENT_DATE,SETTLEMENT_PERIOD,ND,I014_ND,TSD,I014_TSD,ENGLAND_WALES_DEMAND,EMBEDDED_WIND_GENERATION,EMBEDDED_WIND_CAPACITY,EMBEDDED_SOLAR_GENERATION,EMBEDDED_SOLAR_CAPACITY,NON_BM_STOR,PUMP_STORAGE_PUMPING,I014_PUMP_STORAGE_PUMPING,FRENCH_FLOW,BRITNED_FLOW,MOYLE_FLOW,EAST_WEST_FLOW,I014_FRENCH_FLOW,I014_BRITNED_FLOW,I014_MOYLE_FLOW,I014_EAST_WEST_FLOW
01-Jan-17,1,27316,27117,28013,27833,24789,1514,4871,0,11503,0,97,117,923,857,295,233,947,857,296,240
01-Jan-17,2,27900,27706,28539,28329,25486,1518,4871,0,11503,0,39,20,997,874,297,287,986,874,297,286
01-Jan-17,3,27588,27286,28279,27916,25254,1543,4871,0,11503,0,91,125,997,818,297,287,986,816,297,286
01-Jan-17,4,26456,26169,27819,27550,24270,1567,4871,0,11503,0,763,806,997,822,297,287,986,828,297,287
01-Jan-17,5,25429,25150,27565,27316,23409,1601,4871,0,11503,0,1536,1566,997,854,297,281,986,855,297,281
01-Jan-17,6,24754,24528,26738,26550,22785,1634,4871,0,11503,0,1384,1380,998,853,297,287,986,855,297,286
01-Jan-17,7,23789,23615,26018,25864,21835,1647,4871,0,11503,0,1629,1654,997,853,282,287,986,855,281,286
01-Jan-17,8,22935,22742,25430,25365,20987,1659,4871,0,11503,0,1895,2072,998,853,265,287,985,855,258,286
01-Jan-17,9,22352,22194,24720,24908,20498,1672,4871,0,11503,0,1768,2017,362,853,164,287,311,855,163,286
01-Jan-17,10,22037,21870,24493,24579,20165,1684,4871,0,11503,0,1856,2109,312,853,235,287,313,855,240,286
01-Jan-17,11,21830,21651,24283,24357,19952,1711,4871,0,11503,0,1853,2106,50,853,266,287,32,855,266,286
01-Jan-17,12,21703,21532,24142,24221,19814,1737,4871,0,11503,0,1839,2090,20,853,263,287,15,855,261,287
01-Jan-17,13,21967,21840,24444,24611,20093,1721,4871,0,11503,0,1770,2021,-107,853,242,287,-106,855,242,286
01-Jan-17,14,22174,21994,24484,24599,20336,1705,4871,0,11503,0,1646,1850,-64,853,242,287,-111,855,241,286
01-Jan-17,15,22473,22464,24809,24991,20693,1716,4871,0,11503,0,729,795,-1007,854,242,287,-1007,855,242,287
01-Jan-17,16,22692,22648,24347,24280,20923,1727,4871,0,11503,0,41,15,-1014,853,242,287,-989,856,241,286
01-Jan-17,17,23513,23422,24512,24391,21644,1737,4871,14,11503,0,10,4,-389,899,242,287,-361,902,242,286
01-Jan-17,18,24478,24418,25427,25392,22597,1747,4871,82,11503,0,9,4,-340,902,242,287,-320,905,242,287
01-Jan-17,19,25946,25872,26554,26479,23951,1739,4871,170,11503,0,8,4,17,995,262,287,16,1000,261,286
01-Jan-17,20,27237,27269,27873,27882,25182,1731,4871,283,11503,0,9,13,-27,1000,215,287,18,1000,213,286
01-Jan-17,21,28862,28915,29472,29527,26657,1782,4871,399,11503,0,10,13,976,999,221,217,981,1000,221,208
01-Jan-17,22,30128,30098,30738,30711,27811,1833,4871,466,11503,0,10,13,997,1000,261,199,986,1000,263,207
